,PKCosecha,PKCiclo,Fecha,Parcial,CantidadCosechada,PesoPromedio,Dispersion,VentaUSDReal,Usuario,TimeStamp,FechaSiembra,FechaCosecha,cycle_days
793,6301,4916,2021-10-26,1,63664,16.540001,0,4926.0,16,11/18/21 09:02:12,2021-09-07,2021-11-30,49.0
794,6302,4902,2021-11-03,0,543933,26.6,0,74745.0,16,11/18/21 08:51:02,2021-08-24,2021-11-03,71.0
795,6303,4898,2021-10-28,1,243405,18.059999,0,20303.0,16,11/09/21 21:15:38,2021-08-18,2021-11-19,71.0
796,6304,4945,2021-11-03,0,1342000,0.5,0,0.0,16,11/03/21 14:08:52,2021-10-12,2021-11-03,22.0
797,6305,4958,2021-11-03,0,697000,0.090000004,0,0.0,16,11/03/21 14:13:00,2021-10-22,2021-11-03,12.0
798,6306,4963,2021-11-03,0,799000,0.079999998,0,0.0,16,11/03/21 14:14:25,2021-10-22,2021-11-03,12.0
799,6307,4955,2021-11-04,0,778000,0.11,0,0.0,16,11/09/21 20:43:56,2021-10-21,2021-11-04,14.0
800,6308,4957,2021-11-04,0,420000,0.13,0,0.0,16,11/09/21 21:06:58,2021-10-21,2021-11-04,14.0
801,6309,4964,2021-11-05,0,1770000,0.090000004,0,0.0,16,11/09/21 21:07:31,2021-10-25,2021-11-05,11.0
802,6310,4962,2021-11-09,0,925000,0.20999999,0,0.0,16,11/09/21 21:08:01,2021-10-22,2021-11-09,18.0
803,6311,4904,2021-11-04,0,670486,23.950001,0,79709.0,16,11/18/21 08:51:45,2021-08-17,2021-11-04,79.0
804,6312,4899,2021-11-05,0,569561,25.35,0,73279.0,16,11/18/21 08:52:27,2021-08-19,2021-11-05,78.0
805,6313,4909,2021-11-04,1,203881,18.959999,0,16368.0,16,11/18/21 09:05:07,2021-09-02,2021-12-01,63.0
806,6314,4918,2021-11-05,1,365073,15.51,0,22431.0,16,11/18/21 09:04:32,2021-09-08,2021-12-10,58.0
807,6315,4919,2021-11-06,1,275173,13.85,0,14608.0,16,11/18/21 09:03:58,2021-09-09,2021-12-07,58.0
808,6316,4912,2021-11-07,1,201293,17.040001,0,13989.0,16,11/18/21 09:05:35,2021-09-03,2021-11-30,65.0
809,6317,4967,2021-10-28,0,4338000,0.28,0,0.0,16,11/10/21 08:50:30,2021-10-07,2021-10-28,21.0
810,6318,4960,2021-11-12,0,779000,0.23999999,0,0.0,16,11/18/21 08:16:30,2021-10-22,2021-11-12,21.0
811,6319,4961,2021-11-12,0,841000,0.23999999,0,0.0,16,11/18/21 08:21:40,2021-10-22,2021-11-12,21.0
812,6320,4959,2021-11-16,0,1099000,0.55000001,0,0.0,16,11/18/21 08:36:54,2021-10-22,2021-11-16,25.0
813,6321,4972,2021-11-17,0,1475000,0.37,0,0.0,16,11/18/21 08:40:23,2021-11-05,2021-11-17,12.0
